date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:31:00,bitflyer,eth_btc,0.0965,0.10598,-8.9450839781,0.0965,0.09681,0.0965,0.09681,15406.4104316,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,korbit,eth_krw,292000,326950,-10.6897079064,292000,292900,274000,329450,245595.7476889283,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,bitflyer,fx_btc_jpy,273356,263399,3.7801965839,273356,273498,273356,273498,65572.4611112,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,okcoin,ltc_usd,27.145,24.696,9.9165856819,27.145,27.176,23.2,27.35,225088.89,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:32:00,bitstamp,btc_eur,2077.14,1994.5,4.1433943344,2066.95,2079.2,1955.9,2083.99,2141.31392358,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,bitflyer,btc_jpy,268400,264353,1.5309075365,266790,268400,266790,268400,65750.4297122,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,korbit,btc_krw,3068500,3141000,-2.3081821076,3065500,3066000,3002000,3150000,6456.70719098,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,bitstamp,btc_usd,2327.5,2220,4.8423423423,2324.91,2327.5,2154.28,2334,16722.79609653,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,okcoin,btc_usd,2432,2210.81,10.0049303197,2431.94,2431.97,2129.78,2465.37,4938.033,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,korbit,etc_krw,21800,24310,-10.3249691485,21800,21900,21000,24340,644391.9218579346,2017-06-01 01:31:37,2017-06-01 01:31:37
